first_name,last_name,correct,incorrect,games,correct_pg,incorrect_pg,accuracy
Courtney,Kirkland,591.0,68.0,48,12.3125,1.4166666666666667,0.8968133535660091
David,Guthrie,726.0,75.0,53,13.69811320754717,1.4150943396226414,0.9063670411985019
Scott,Twardoski,665.0,65.0,46,14.456521739130435,1.4130434782608696,0.910958904109589
Brian,Forte,641.0,64.0,46,13.934782608695652,1.391304347826087,0.9092198581560283
Brent,Barnaky,642.0,69.0,50,12.84,1.38,0.9029535864978903
Jacyn,Goble,253.0,22.0,16,15.8125,1.375,0.92
Steve,Anderson,537.0,48.0,35,15.342857142857143,1.3714285714285714,0.9179487179487179
James,Capers,887.0,77.0,57,15.56140350877193,1.3508771929824561,0.9201244813278008
Rodney,Mott,835.0,79.0,59,14.152542372881356,1.3389830508474576,0.9135667396061269
Lauren,Holtkamp,674.0,60.0,45,14.977777777777778,1.3333333333333333,0.9182561307901907
J.T.,Orr,741.0,69.0,52,14.25,1.3269230769230769,0.9148148148148149
Brett,Nansel,340.0,30.0,23,14.782608695652174,1.3043478260869565,0.918918918918919
Sean,Corbin,643.0,61.0,47,13.680851063829786,1.297872340425532,0.9133522727272727
Ed,Malloy,652.0,62.0,48,13.583333333333334,1.2916666666666667,0.9131652661064426
Ben,Taylor,501.0,49.0,38,13.18421052631579,1.2894736842105263,0.9109090909090909
Scott,Wall,590.0,62.0,49,12.040816326530612,1.2653061224489797,0.9049079754601227
Dan,Crawford,691.0,73.0,58,11.913793103448276,1.2586206896551724,0.9044502617801047
Dedric,Taylor,482.0,45.0,37,13.027027027027026,1.2162162162162162,0.9146110056925996
Nick,Buchert,702.0,62.0,51,13.764705882352942,1.2156862745098038,0.918848167539267
Bill,Kennedy,817.0,68.0,57,14.333333333333334,1.1929824561403508,0.9231638418079096
Gediminas,Petraitis,543.0,49.0,42,12.928571428571429,1.1666666666666667,0.9172297297297297
Derek,Richardson,635.0,52.0,47,13.51063829787234,1.1063829787234043,0.9243085880640466
Tyler,Ford,521.0,42.0,38,13.710526315789474,1.105263157894737,0.9253996447602132
Joe,Crawford,132.0,11.0,10,13.2,1.1,0.9230769230769231
Phenizee,Ransom,29.0,2.0,2,14.5,1.0,0.9354838709677419
Jason,Goldenberg,72.0,4.0,4,18.0,1.0,0.9473684210526315
JB,DeRosa,16.0,1.0,1,16.0,1.0,0.9411764705882353
Mark,Lindsay,709.0,50.0,51,13.901960784313726,0.9803921568627451,0.9341238471673254
CJ,Washington,188.0,10.0,12,15.666666666666666,0.8333333333333334,0.9494949494949495
Ray,Acosta,50.0,2.0,3,16.666666666666668,0.6666666666666666,0.9615384615384616
Randy,Richardson,18.0,0.0,1,18.0,0.0,1.0
Brandon,Adair,15.0,0.0,1,15.0,0.0,1.0
